"SubjectID" "Activity" "AVG-tBodyAcc-mean()-X" "AVG-tBodyAcc-mean()-Y" "AVG-tBodyAcc-mean()-Z" "AVG-tBodyAcc-std()-X" "AVG-tBodyAcc-std()-Y" "AVG-tBodyAcc-std()-Z" "AVG-tGravityAcc-mean()-X" "AVG-tGravityAcc-mean()-Y" "AVG-tGravityAcc-mean()-Z" "AVG-tGravityAcc-std()-X" "AVG-tGravityAcc-std()-Y" "AVG-tGravityAcc-std()-Z" "AVG-tBodyAccJerk-mean()-X" "AVG-tBodyAccJerk-mean()-Y" "AVG-tBodyAccJerk-mean()-Z" "AVG-tBodyAccJerk-std()-X" "AVG-tBodyAccJerk-std()-Y" "AVG-tBodyAccJerk-std()-Z" "AVG-tBodyGyro-mean()-X" "AVG-tBodyGyro-mean()-Y" "AVG-tBodyGyro-mean()-Z" "AVG-tBodyGyro-std()-X" "AVG-tBodyGyro-std()-Y" "AVG-tBodyGyro-std()-Z" "AVG-tBodyGyroJerk-mean()-X" "AVG-tBodyGyroJerk-mean()-Y" "AVG-tBodyGyroJerk-mean()-Z" "AVG-tBodyGyroJerk-std()-X" "AVG-tBodyGyroJerk-std()-Y" "AVG-tBodyGyroJerk-std()-Z" "AVG-tBodyAccMag-mean()" "AVG-tBodyAccMag-std()" "AVG-tGravityAccMag-mean()" "AVG-tGravityAccMag-std()" "AVG-tBodyAccJerkMag-mean()" "AVG-tBodyAccJerkMag-std()" "AVG-tBodyGyroMag-mean()" "AVG-tBodyGyroMag-std()" "AVG-tBodyGyroJerkMag-mean()" "AVG-tBodyGyroJerkMag-std()" "AVG-fBodyAcc-mean()-X" "AVG-fBodyAcc-mean()-Y" "AVG-fBodyAcc-mean()-Z" "AVG-fBodyAcc-std()-X" "AVG-fBodyAcc-std()-Y" "AVG-fBodyAcc-std()-Z" "AVG-fBodyAcc-meanFreq()-X" "AVG-fBodyAcc-meanFreq()-Y" "AVG-fBodyAcc-meanFreq()-Z" "AVG-fBodyAccJerk-mean()-X" "AVG-fBodyAccJerk-mean()-Y" "AVG-fBodyAccJerk-mean()-Z" "AVG-fBodyAccJerk-std()-X" "AVG-fBodyAccJerk-std()-Y" "AVG-fBodyAccJerk-std()-Z" "AVG-fBodyAccJerk-meanFreq()-X" "AVG-fBodyAccJerk-meanFreq()-Y" "AVG-fBodyAccJerk-meanFreq()-Z" "AVG-fBodyGyro-mean()-X" "AVG-fBodyGyro-mean()-Y" "AVG-fBodyGyro-mean()-Z" "AVG-fBodyGyro-std()-X" "AVG-fBodyGyro-std()-Y" "AVG-fBodyGyro-std()-Z" "AVG-fBodyGyro-meanFreq()-X" "AVG-fBodyGyro-meanFreq()-Y" "AVG-fBodyGyro-meanFreq()-Z" "AVG-fBodyAccMag-mean()" "AVG-fBodyAccMag-std()" "AVG-fBodyAccMag-meanFreq()" "AVG-fBodyBodyAccJerkMag-mean()" "AVG-fBodyBodyAccJerkMag-std()" "AVG-fBodyBodyAccJerkMag-meanFreq()" "AVG-fBodyBodyGyroMag-mean()" "AVG-fBodyBodyGyroMag-std()" "AVG-fBodyBodyGyroMag-meanFreq()" "AVG-fBodyBodyGyroJerkMag-mean()" "AVG-fBodyBodyGyroJerkMag-std()" "AVG-fBodyBodyGyroJerkMag-meanFreq()" "AVG-angle(tBodyAccMean,gravity)" "AVG-angle(tBodyAccJerkMean),gravityMean)" "AVG-angle(tBodyGyroMean,gravityMean)" "AVG-angle(tBodyGyroJerkMean,gravityMean)" "AVG-angle(X,gravityMean)" "AVG-angle(Y,gravityMean)" "AVG-angle(Z,gravityMean)"
"1" 1 "LAYING" -0.5088314264 -0.478344407626 -0.47382608144 -0.46682875962 -0.46998748518 -0.50425799028 -0.51882484418 -0.548376105764 -0.5082700872406 -0.560671995696 -0.531478587028 -0.560383052606 -0.53580672419 -0.512606163636 -0.52078028358 -0.526172696464 -0.5348829415 -0.55524493 -0.52023489502 -0.49173517628 -0.536601468306 -0.54171016438 -0.540575305234 -0.57437489738 -0.51387626062 -0.50071554466 -0.545053140018 -0.51052605288 -0.566583586248 -0.548105018614 -0.43450247982 -0.48188063288 -0.494633266798 -0.50204700813 -0.5159162669306 -0.47638841498 -0.52348160952 -0.50204303858 -0.562130501278 -0.51024828954 -0.51041098826 -0.52476627756 -0.538701925518 -0.5489093258 -0.557634580298 -0.521556277426 -0.47269863464 -0.50172699548 -0.50625442704 -0.48120552074 -0.50364004642 -0.53308101292 -0.520061428664 -0.52353601044 -0.51938726282 -0.533570999008 -0.517581730414 -0.52577686834 -0.52661146598 -0.553313212218 -0.52659735618 -0.560169606326 -0.557176712248 -0.556599492058 -0.508196431104 -0.5268958604958 -0.525071705264 -0.4970579142 -0.512998216333 -0.509355552846 -0.498098932052 -0.500591519304 -0.511517995682 -0.5494966572174 -0.531875805696 -0.582974910348 -0.559960593242 -0.52761413575 -0.51114018096 -0.50426272664 -0.51352015256 -0.52618787366 -0.521845231912 -0.47081448527 -0.55548876259 -0.53400005638
"2" 1 "SITTING" -0.546304671176596 -0.485475298121277 -0.517427531089362 -0.490310014753191 -0.522008766440425 -0.569527266776596 -0.51790401286383 -0.564639047680851 -0.580462954085106 -0.586067276097872 -0.565408507110638 -0.565116187914894 -0.581073631814894 -0.565268990234043 -0.576465595780851 -0.592167578234043 -0.582346102291489 -0.531348777765957 -0.570235710202128 -0.580912488425532 -0.574317217021277 -0.546055204446809 -0.595614299212766 -0.563551122808511 -0.573317385361702 -0.511134851797872 -0.530724905574468 -0.499984736787234 -0.509000442021277 -0.476631612702128 -0.494165995112766 -0.492609530404255 -0.476796855819149 -0.492883319325532 -0.485465862957447 -0.434816396614894 -0.475667425680851 -0.541930603510638 -0.540541291255319 -0.548132845446809 -0.548448897106383 -0.518329980553191 -0.520795076125532 -0.483802084851064 -0.528042818297872 -0.545905418164681 -0.521269039523404 -0.536923825646809 -0.526089298031915 -0.512722778838298 -0.475919559314894 -0.534782007668085 -0.574872529178723 -0.545429762857447 -0.572818066255319 -0.584676966531915 -0.533863773770213 -0.538966611425532 -0.59598836517234 -0.646312710065957 -0.593658930829787 -0.566413086842553 -0.564756364874468 -0.586417908342553 -0.590137021957447 -0.573826814297872 -0.544049681978723 -0.558512457846808 -0.587615304329787 -0.528883045665957 -0.55160185132766 -0.542663428223404 -0.561169347304894 -0.542373796382979 -0.588298330793617 -0.615581063340426 -0.616039878531915 -0.579983033446809 -0.501775628201277 -0.531847728671702 -0.528079246989362 -0.536500708751702 -0.534192747465957 -0.557058659912766 -0.616705142085106 -0.605200649851064
"3" 1 "STANDING" -0.53525808489434 -0.552290404173585 -0.554765631283585 -0.582209043266038 -0.566041838228302 -0.555777479337736 -0.585103995179245 -0.507492134083019 -0.528280434188679 -0.481056943313208 -0.539477487926415 -0.529600990088679 -0.560422064862264 -0.492948089509434 -0.51552407790566 -0.546112408296226 -0.56112279315283 -0.567350978886792 -0.570286901113208 -0.563498553388679 -0.529154086328302 -0.540429635396226 -0.563989549413019 -0.54059029209434 -0.576360993679245 -0.589552456839623 -0.568867987962264 -0.578273176233962 -0.583226146718868 -0.562168517062264 -0.565691084494302 -0.572012063815849 -0.551035472137736 -0.568242685967924 -0.55361587487383 -0.56762161277717 -0.551413798933962 -0.559711459311321 -0.567091346060377 -0.578598314313208 -0.583036584350943 -0.585423173913774 -0.575751318018868 -0.589448113437736 -0.590959700592453 -0.532960256692453 -0.565632305824528 -0.565888733564151 -0.600863231212453 -0.616186915571698 -0.605111884011321 -0.599883010698113 -0.598003333726415 -0.549596179055472 -0.590289727013208 -0.574652501264151 -0.603193775641509 -0.563492107639623 -0.500192258018868 -0.526508313471698 -0.589983185377358 -0.562687764018868 -0.558413549367925 -0.573865821415094 -0.61664547884717 -0.599622733467924 -0.574689172301887 -0.568065620003774 -0.597888071656604 -0.532654617528302 -0.577730956160377 -0.5625833491 -0.529299440792453 -0.540336860622642 -0.507942959998113 -0.497356215675189 -0.492512417981132 -0.526665073010943 -0.603235687086792 -0.581063569792453 -0.600540198737736 -0.584307012835849 -0.603405082483019 -0.540761617509434 -0.515001031809434 -0.519847570326415
"4" 1 "WALKING" -0.161334609389474 -0.148659251947368 -0.148442864534737 -0.133064883424211 -0.141762569407368 -0.152492495589474 -0.122379451570526 -0.188112229596842 -0.188106713517895 -0.180304934789474 -0.125796710732211 -0.149081761567368 -0.165108907812632 -0.150861977771579 -0.129317385117895 -0.139750987575684 -0.166889053208421 -0.148999692531579 -0.143599536323684 -0.177198985118947 -0.167502148103158 -0.176392289544211 -0.154307834023158 -0.151493138891579 -0.1636712674478 -0.171118260029474 -0.164878675366316 -0.163024748297895 -0.166589531495789 -0.133313034275684 -0.177877806703158 -0.148924019557895 -0.147293648372632 -0.141197223415789 -0.185271298298947 -0.155519864277895 -0.165659700272632 -0.174186218582105 -0.148836511274737 -0.147994865682105 -0.136634083273684 -0.178175244448421 -0.154588071589158 -0.141093320645263 -0.139414285075789 -0.166794911401053 -0.146470519071579 -0.145582810270526 -0.142103299972632 -0.126036015402105 -0.133144795149579 -0.135832174658947 -0.125372224687368 -0.149419632272737 -0.132106499525263 -0.141112408472632 -0.138313212757895 -0.165230148854737 -0.156435456444211 -0.165589840614737 -0.200247198294737 -0.176571768021053 -0.144086724827053 -0.167714792606316 -0.127738678229474 -0.146636733107368 -0.163927882452 -0.169141900166316 -0.14999676188 -0.188371546411579 -0.154747379508421 -0.142812984697053 -0.163236809300105 -0.152493433018947 -0.155381270837895 -0.167493234746947 -0.159465306787368 -0.140183631496842 -0.130269430292632 -0.124854918775158 -0.133662625097895 -0.144029310497895 -0.150440474992632 -0.151048761660737 -0.150985666658947 -0.178792801041895
"5" 1 "WALKING_DOWNSTAIRS" -0.150740499959184 -0.0897291635673469 -0.162734051808776 -0.140262651946735 -0.153262161792245 -0.218518741185102 -0.149461333122449 -0.0923744201714286 -0.0450856402081633 -0.114326121659184 -0.130685341232653 -0.0936597481612245 -0.106879610144898 -0.0424381050387755 -0.0613848584061224 -0.108366710428163 -0.160264067806122 -0.130960940918367 -0.144970249933673 -0.109183198861224 -0.133912941659184 -0.132333854593878 -0.130072318130612 -0.131280767959184 -0.12713752474898 -0.134505698673469 -0.0952874215102041 -0.148817045693878 -0.110502756659184 -0.120839802153061 -0.195409983620408 -0.108451432653061 -0.168345490038776 -0.168253335653061 -0.123956889112245 -0.134817239534694 -0.133903587115306 -0.184010091340816 -0.142210871991837 -0.142047442632653 -0.148393025489796 -0.112363029820408 -0.136516631560816 -0.132071771112245 -0.144086231530612 -0.136320678532653 -0.145793921202041 -0.114492375010204 -0.179871066836735 -0.15133405942449 -0.158458597522449 -0.154376846693878 -0.0654295587918367 -0.132775868963265 -0.1111758897 -0.0809475616897959 -0.0781551323857143 -0.079416424976102 -0.0732849152938776 -0.132185140022449 -0.101975006953061 -0.0878216453734694 -0.121233262789796 -0.0553155331020408 -0.0816922500355102 -0.045219786755102 -0.0912275005040816 -0.110121247020408 -0.10797797469551 -0.117748249626531 -0.0974863912612245 -0.107499851234694 -0.101281936591837 -0.0957303600489796 -0.063729116922449 -0.0732512307769388 -0.107349323863265 -0.0446655661979592 -0.0951501534693878 -0.105029264510204 -0.130613613489796 -0.0871856989122449 -0.0878153370408163 -0.126691141571429 -0.104721080583673 -0.0614199498897959
"6" 1 "WALKING_UPSTAIRS" -0.319099677211321 -0.321951971398113 -0.32649017045283 -0.325369654735849 -0.332876134301887 -0.335140419066038 -0.334694230283019 -0.293810423186792 -0.292751833132075 -0.30375957254717 -0.279775260501887 -0.274530947132075 -0.280173161458491 -0.261899405307547 -0.304819452937736 -0.318468992811321 -0.265667316050943 -0.255358728867925 -0.223690828962264 -0.213557640283019 -0.282849279826415 -0.270175055316981 -0.242002253641509 -0.274136570733962 -0.249191731396226 -0.291874398841509 -0.312402300830189 -0.297088024909434 -0.252931314458491 -0.261239904981132 -0.300876353156604 -0.294377828079245 -0.293050928813208 -0.297640705149057 -0.31507630190566 -0.308368939137736 -0.275453597660377 -0.215088645137736 -0.245714786884906 -0.258932342924528 -0.290121952415094 -0.251923901264151 -0.277559249339623 -0.271384837966038 -0.25095945490566 -0.240951818056604 -0.321546236339623 -0.351198521073585 -0.317461227203774 -0.290714108481132 -0.303413717188679 -0.316583331137736 -0.27095355465283 -0.273560378897547 -0.238910424050943 -0.240828798850755 -0.226282961073585 -0.231212206709434 -0.302898172803774 -0.289491353339623 -0.313910647713208 -0.294965056064151 -0.275088041303774 -0.271977526949057 -0.265362729226415 -0.289905535981132 -0.296488034509434 -0.299031519201887 -0.3073226341 -0.293714693374906 -0.295235883171698 -0.30280610290566 -0.297389431515094 -0.295808670811321 -0.298915425056604 -0.312436184792453 -0.325365994396226 -0.263804240056604 -0.275911157703774 -0.337787157373962 -0.306991135037736 -0.253775906396038 -0.291912686092453 -0.245489731820755 -0.300935315584906 -0.320850664773585
"7" 2 "LAYING" -0.596170032702083 -0.648900204634042 -0.602773040508333 -0.621269918804167 -0.5985564136625 -0.552046090491667 -0.540628983652083 -0.51719686206875 -0.498042803841667 -0.541937596854167 -0.5041051245 -0.5154271523125 -0.518271279541667 -0.51390984125 -0.488142264722917 -0.522608390770833 -0.491231622641667 -0.4940490336875 -0.510933355366667 -0.531754901085417 -0.53536121451875 -0.523449935291667 -0.5030575803125 -0.53157255465625 -0.5773005156375 -0.506497085545833 -0.5715215631375 -0.537687038922917 -0.514045332514583 -0.590037120762708 -0.552080938495833 -0.589126745713333 -0.594556362708333 -0.575657065579167 -0.596051854879167 -0.582371922345833 -0.583023902727083 -0.575645855208333 -0.575244216220833 -0.56918405806875 -0.525436975947917 -0.512875825330417 -0.54104595525625 -0.624736554 -0.5806354276875 -0.550689431489583 -0.570234464583333 -0.58311482397 -0.582291674770833 -0.578403499604167 -0.558579752239583 -0.587359591202083 -0.511879056104167 -0.526484041145833 -0.535947734870833 -0.562389247345833 -0.571418537166667 -0.582077499666667 -0.544801552458333 -0.525530910354167 -0.558334702629167 -0.485039144941667 -0.555911592666667 -0.537541579975 -0.5386356273875 -0.534000775541667 -0.571033461041667 -0.5652395461875 -0.562814181833333 -0.536046670479167 -0.55980594283125 -0.574469360708333 -0.5399462608125 -0.545902631958333 -0.544171177958333 -0.537005462645833 -0.4980239041875 -0.517789681145833 -0.56749113383125 -0.575217602429167 -0.550919682891667 -0.554131776695833 -0.556487995791667 -0.52791703723125 -0.500678817395833 -0.573810217297917
"8" 2 "SITTING" -0.614018333604348 -0.574395772697174 -0.616663634456522 -0.622169650473913 -0.60963152805 -0.586700777943478 -0.582169865695652 -0.544007704847826 -0.503215067282609 -0.538469411806522 -0.526554682152174 -0.52479111715 -0.491487561130435 -0.556552370891304 -0.5541236659 -0.564079186954217 -0.519800093934783 -0.512783974043478 -0.541532916184783 -0.5634705195 -0.550575331326087 -0.550761584180435 -0.516198046958696 -0.543122314865217 -0.540679969830435 -0.555101130332609 -0.558334483719565 -0.577353442226087 -0.566440314676087 -0.564757041456522 -0.552874682515 -0.6119473519965 -0.553139697304348 -0.598252553482609 -0.573131403556522 -0.583613230248696 -0.59529624071087 -0.538475560817391 -0.577834206128261 -0.580012766463043 -0.574769487015217 -0.5731259906 -0.594326788537174 -0.523608671076087 -0.534484353722826 -0.576625118132609 -0.584786969126087 -0.605777219108696 -0.582936600728261 -0.608992328252174 -0.59086117655 -0.61512134180087 -0.596450142747826 -0.560355616019565 -0.572548539086957 -0.566803100730435 -0.613992528347826 -0.578474252186956 -0.538950736421739 -0.492850191582609 -0.487863002608696 -0.477845359095652 -0.555029104254348 -0.564057890954348 -0.548011606121739 -0.562935824 -0.589159826478261 -0.540567557852174 -0.545309887304348 -0.542340203826087 -0.588108530582174 -0.551378321113044 -0.579412455115217 -0.52289442978413 -0.536997362665217 -0.488226083195652 -0.495906579895652 -0.523251418495217 -0.5967209515 -0.582007719536957 -0.585942733130435 -0.61489001336087 -0.581138487521739 -0.579856486108696 -0.514839595108696 -0.511904276067391
"9" 2 "STANDING" -0.519827216648148 -0.529988470888889 -0.535661085 -0.537400873305556 -0.494352904055556 -0.503172152174074 -0.52699733087037 -0.556843520455556 -0.560763886681481 -0.535586521974074 -0.589220001485741 -0.562773047222222 -0.611866891022222 -0.550947805907407 -0.558323257822963 -0.569713938511111 -0.587223739853889 -0.609275687481482 -0.62945504887037 -0.596284792111111 -0.581201700203889 -0.596957341203704 -0.590878818907407 -0.582753362767037 -0.581960933524074 -0.61221857162963 -0.568706847172222 -0.610710373659259 -0.583686857611111 -0.553231355798148 -0.57423265465 -0.555163417981481 -0.513140449148148 -0.534619637316667 -0.562224742592593 -0.527836577055556 -0.562745366611111 -0.596589976135185 -0.572157697088889 -0.607916817611111 -0.600263998833333 -0.593237288561111 -0.594843617448148 -0.581724087185185 -0.591152574185185 -0.578284914666667 -0.535143901655556 -0.498136679237222 -0.504668848983333 -0.531915662472222 -0.540907838007407 -0.524046717246296 -0.55929824237037 -0.590377281468519 -0.567610320037037 -0.545779461566667 -0.57058754902037 -0.535422544703704 -0.563918422261111 -0.550610391214815 -0.553676920433333 -0.553902918505556 -0.545450768357407 -0.554375025309259 -0.580389803414815 -0.545280174685185 -0.567298337468519 -0.568420830097778 -0.56742229117963 -0.585142685701852 -0.570992558901852 -0.577542097096296 -0.570787488924074 -0.562368561231481 -0.517408603705556 -0.564953975338889 -0.54578676495 -0.530636084287037 -0.554566340546296 -0.515728961244444 -0.550861489225926 -0.544144034322222 -0.564034612351852 -0.540809105362963 -0.557914578712963 -0.557826702805556
"10" 2 "WALKING" -0.265826940532203 -0.263833617428814 -0.258359185186441 -0.260555785961017 -0.274437687359322 -0.276678751440678 -0.234384048659322 -0.26804200229322 -0.278011375220339 -0.260010913437288 -0.265232037216949 -0.22503721720339 -0.249101731320339 -0.262817772832203 -0.259000374864407 -0.209619422364407 -0.179480508016949 -0.238177581172881 -0.201662581844068 -0.207306435182203 -0.212463046369492 -0.2253820061 -0.218993973581356 -0.209471455033898 -0.229828226 -0.24448461511017 -0.239809326962712 -0.21332378240339 -0.239292162559322 -0.22909894740678 -0.212934812813559 -0.283715872213559 -0.255393890722034 -0.274209510849153 -0.266149259281356 -0.272109054998983 -0.242951811440678 -0.228649738847458 -0.232635655145763 -0.192345592616949 -0.170651345498305 -0.211889420601695 -0.217891708466102 -0.234103984613559 -0.223826366611864 -0.232048853609153 -0.261529554881356 -0.269696712625424 -0.280420537990169 -0.238001777169492 -0.260023883819322 -0.249533437438983 -0.261393234069491 -0.263536433254237 -0.250505290210169 -0.224042982735593 -0.212515595737288 -0.1986726069 -0.264653796788136 -0.274722484542373 -0.281623371261017 -0.256827708577966 -0.249557068777458 -0.253706400861017 -0.263292047983051 -0.294564684711864 -0.242081605135593 -0.281437681564407 -0.253685764079661 -0.24159329159661 -0.320167472179661 -0.232454946784746 -0.269536498491525 -0.281423391767797 -0.264063943711864 -0.211802103832203 -0.289221060916949 -0.26982279079322 -0.236244324925424 -0.230115304559322 -0.248024990775085 -0.240143251822034 -0.230326073898305 -0.271648026843559 -0.279250581064407 -0.27759701150339
